# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Wotton, Anthony, 1561?-1626	Anglican	Puritan	m
Draxe, Thomas, d. 1618	Anglican	Puritan	m
Horne, Robert, 1565-1640	Anglican	Puritan	m
Bourne, Immanuel, 1590-1672	Anglican	Puritan	m
Mayer, John, 1583-1664	Anglican	Puritan	m
Jenison, Robert, 1584?-1652	Anglican	Puritan	m
Scott, Thomas, 1580?-1626	Anglican	Puritan	m	Anti-Spanish pamphleteer
Stoughton, John, d. 1639	Anglican	Puritan	m
Fisher, Edward, fl. 1627-1655	Anglican	Puritan	m	The Marrow of Modern Divinity
Sparke, Thomas, 1548-1616	Anglican	Puritan	m
Leigh, William, 1550-1639	Anglican	Puritan	m
Stock, Richard, 1569?-1626	Anglican	Puritan	m
Elton, Edward, d. 1624	Anglican	Puritan	m
Crompton, William, 1599?-1642	Anglican	Puritan	m
Darrel, John, b. ca. 1562	Anglican	Puritan	m
Teate, Faithful, b. 1621	Anglican	Puritan	m	Church of Ireland
Polhill, Edward, 1622-1694?	Anglican	Puritan	m	Lay Calvinist
Richardson, Charles, fl. 1612-1617	Anglican	Puritan	l
Jerome, Stephen, fl. 1604-1650	Anglican	Puritan	l
Barlow, John, b. 1580 or 81	Anglican	Puritan	l
Carpenter, John, d. 1621	Anglican	Puritan	l
Deacon, John, 17th cent	Anglican	Puritan	l
Etherington, John, fl. 1641-1645	Anglican	Puritan	l
Sheppard, William, d. 1675?	Anglican	Puritan	l	Lay lawyer; Cromwell's draftsman
Smith, George, 1602 or 3-1658	Anglican	Puritan	l
W. B. (William Blake), fl. 1650-1670	Anglican	Puritan	l
Gibbon, Charles, fl. 1589-1604	Anglican	Puritan	l	Lay
Phelpes, Charles	Anglican	Puritan	l

# ── The English Reformation ───────────────────────────────────────
Frith, John, 1503-1533	Anglican		m	Burned 1533; filed with Tyndale to the church their work made
Sternhold, Thomas, d. 1549	Anglican		m
Taverner, Richard, 1505?-1575	Anglican		m

# ── Presbyterian ──────────────────────────────────────────────────
Henderson, Alexander, 1583?-1646	Presbyterian	Puritan	h	Church of Scotland
Baillie, Robert, 1599-1662	Presbyterian	Puritan	h	Church of Scotland
Hutcheson, George, 1615-1674	Presbyterian	Puritan	h	Church of Scotland
Gray, Andrew, 1633-1656	Presbyterian	Puritan	h	Church of Scotland
Brown, John, 1610?-1679	Presbyterian	Puritan	h	Of Wamphray
Edwards, Thomas, 1599-1647	Presbyterian	Puritan	h	Gangraena
Seaman, Lazarus, d. 1675	Presbyterian	Puritan	h	Westminster divine
Spurstowe, William, 1605?-1666	Presbyterian	Puritan	h	Smectymnuus
Jacombe, Thomas, 1622-1687	Presbyterian	Puritan	h
Doolittle, Thomas, 1632?-1707	Presbyterian	Puritan	h
Williams, Daniel, 1643?-1716	Presbyterian	Puritan	h
Ambrose, Isaac, 1604-1664	Presbyterian	Puritan	h
Forbes, John, 1568?-1634	Presbyterian	Puritan	m	Exiled for the Aberdeen Assembly; not Forbes of Corse
Taylor, Francis, 1590-1656	Presbyterian	Puritan	m	Westminster divine
Byfield, Richard, 1598?-1664	Presbyterian	Puritan	m	Westminster divine
Reyner, Edward, 1600-1668	Presbyterian	Puritan	m
Bond, John, 1612-1676	Presbyterian	Puritan	m
Wilkinson, Henry, 1616-1690	Presbyterian	Puritan	m
Mocket, Thomas, 1602-1670?	Presbyterian	Puritan	m
Shawe, John, 1608-1672	Presbyterian	Puritan	m
Stockton, Owen, 1630-1680	Presbyterian	Puritan	m
Shaw, Samuel, 1635-1696	Presbyterian	Puritan	m	Ejected 1662
Tomlyns, Samuel, 1632 or 3-1700	Presbyterian	Puritan	m	Ejected 1662

# ── Congregational and Independent ────────────────────────────────
Ames, William, 1576-1633	Congregational	Puritan	h	The Marrow of Sacred Divinity
Johnson, Francis, 1562-1618	Congregational	Puritan	h	Separatist at Amsterdam
Nye, Philip, 1596?-1672	Congregational	Puritan	h	Dissenting Brother
Eaton, Samuel, 1596?-1665	Congregational	Puritan	h
Cradock, Walter, 1606?-1659	Congregational	Puritan	h	Welsh
Barker, Matthew, 1619-1698	Congregational	Puritan	h
Pynchon, William, 1590-1662	Congregational	Puritan	m	New England
Rogers, John, 1627-1665?	Congregational	Puritan	m	Fifth Monarchist
Tillinghast, John, 1604-1655	Congregational	Puritan	m	Fifth Monarchist
Lee, Samuel, 1625-1691	Congregational	Puritan	m
Durant, John, b. 1620	Congregational	Puritan	m
Price, John, Citizen of London	Congregational	Puritan	m	Of John Goodwin's gathered church
Walker, Henry, Ironmonger	Congregational	Puritan	l

# ── Baptist ───────────────────────────────────────────────────────
Knollys, Hanserd, 1599?-1691	Baptist	Puritan	h	Particular Baptist
Grantham, Thomas, 1634-1692	Baptist	Puritan	h	General Baptist
Barber, Edward, d. 1674?	Baptist	Puritan	h	General Baptist
Hobson, Paul	Baptist	Puritan	h
Saller, William, d. ca. 1680	Baptist	Puritan	h	Seventh Day Baptist
Chidley, Samuel	Baptist	Puritan	m
Moore, Thomas, Senior	Baptist	Puritan	l	General Baptist
Moore, Thomas, Junior	Baptist	Puritan	l
Adis, Henry	Baptist	Puritan	l

# ── Quaker ────────────────────────────────────────────────────────
Fox, Margaret Askew Fell, 1614-1702	Quaker		h
Dewsbury, William, 1621-1688	Quaker		h
Parnel, James, 1637?-1656	Quaker		h
Bishop, George, d. 1668	Quaker		h
Crook, John, 1617-1699	Quaker		h
Rigge, Ambrose, 1635?-1705	Quaker		h
Smith, Humphrey, d. 1663	Quaker		h
Smith, William, b. 1615 or 16	Quaker		m

# ── The continent ─────────────────────────────────────────────────
Vermigli, Pietro Martire, 1499-1562	Continental Reformed		h
Ochino, Bernardino, 1487-1564	Continental Reformed		m	Italian reformer; his last years strained the label
Hemmingsen, Niels, 1513-1600	Lutheran		h	Danish

# ── Rome ──────────────────────────────────────────────────────────
Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621	Roman Catholic		h	Jesuit
Southwell, Robert, Saint, 1561?-1595	Roman Catholic		h	Jesuit; martyred 1595
Martin, Gregory, d. 1582	Roman Catholic		h	The Rheims New Testament
Knott, Edward, 1582-1656	Roman Catholic		h	Jesuit
Gordon, James, 1541-1620	Roman Catholic		h	Jesuit
Rastell, John, 1532-1577	Roman Catholic		h	Jesuit
Preston, Thomas, 1563-1640	Roman Catholic		h	Benedictine, writing as Roger Widdrington
Birchley, William, 1613-1669	Roman Catholic		h	John Austin, under a pen name
Paynell, Thomas	Roman Catholic		m	Augustinian canon

# ── Party without a body ──────────────────────────────────────────
Overton, Richard, fl. 1646		Puritan	l	Leveller and mortalist; gathered with Baptists without settling
Winstanley, Gerrard, b. 1609		Puritan	l	Digger; ended among the Quakers

# ══ Fourth pass ═══════════════════════════════════════════════════

# ── Anglican, conforming ──────────────────────────────────────────
Minister of the Church of England	Anglican	Conformist	h	The catalogue's own description is the answer
Glanvill, Joseph, 1636-1680	Anglican	Conformist	h
Jane, William, 1645-1707	Anglican	Conformist	h
Clagett, William, 1646-1688	Anglican	Conformist	h
Stratford, Nicholas, 1633-1707	Anglican	Conformist	h	Bishop of Chester
Milbourne, Luke, 1649-1720	Anglican	Conformist	h
Brady, Nicholas, 1659-1726	Anglican	Conformist	h
Cartwright, Thomas, 1634-1689	Anglican	Conformist	h	Bishop of Chester; not the Elizabethan Presbyterian
Towerson, Gabriel, 1635?-1697	Anglican	Conformist	h
Hale, Matthew, Sir, 1609-1676	Anglican	Conformist	h	Lay; Lord Chief Justice
Lucas, Richard, 1648-1715	Anglican	Conformist	h
Calamy, Benjamin, 1642-1686	Anglican	Conformist	h	Conformed, unlike his father
Moore, John, 1646-1714	Anglican	Conformist	h	Bishop of Ely
Stanhope, George, 1660-1728	Anglican	Conformist	h
Mason, Francis, 1566?-1621	Anglican	Conformist	h
Parr, Richard, 1617-1691	Anglican	Conformist	m
Boteler, Edward, d. 1670	Anglican	Conformist	m
Smith, Thomas, 1638-1710	Anglican	Conformist	m	Nonjuror
Hole, Matthew, 1639 or 40-1730	Anglican	Conformist	m
Cave, John, d. 1690	Anglican	Conformist	m
Turner, John, b. 1649 or 50	Anglican	Conformist	m
Chetwynd, John, 1623-1692	Anglican	Conformist	m
Littleton, Adam, 1627-1694	Anglican	Conformist	m
Worthington, John, 1618-1671	Anglican	Conformist	m
Ellis, Clement, 1630-1700	Anglican	Conformist	m
Patrick, John, 1632-1695	Anglican	Conformist	m
Hesketh, Henry, 1637?-1710	Anglican	Conformist	m
Dove, Henry, 1640-1695	Anglican	Conformist	m
Young, Edward, 1641 or 2-1705	Anglican	Conformist	m
Jeffery, John, 1647-1720	Anglican	Conformist	m
Butler, Lilly	Anglican	Conformist	m
Lawson, George, d. 1678	Anglican	Conformist	m
Towers, William, 1617?-1666	Anglican	Conformist	m
R. B. (Robert Boreman), d. 1675	Anglican	Conformist	m
Allington, John, d. 1682	Anglican	Conformist	m	Sequestered under the Commonwealth
Udal, Ephraim, d. 1647	Anglican	Conformist	m
Symmons, Edward	Anglican	Conformist	m	Royalist
Wall, John, 1588-1666	Anglican	Conformist	m
Featley, John, 1605?-1666	Anglican	Conformist	m
Squire, John, ca. 1588-1653	Anglican	Conformist	m
Pestell, Thomas, 1584?-1659?	Anglican	Conformist	m
Higgons, Theophilus, 1578?-1659	Anglican	Conformist	m	Returned from Rome
Hampton, Christopher, 1552-1625	Anglican	Conformist	m	Archbishop of Armagh
Denison, John, d. 1629	Anglican	Conformist	m
Woolton, John, 1535?-1594	Anglican	Conformist	m	Bishop of Exeter
White, Thomas, ca. 1550-1624	Anglican	Conformist	m
Some, Robert, 1542-1609	Anglican	Conformist	m
Prime, John, 1550-1596	Anglican	Conformist	m
Hacket, Roger, 1559-1621	Anglican	Conformist	m
Covell, William, d. 1614?	Anglican	Conformist	m
Terry, John, 1555?-1625	Anglican	Conformist	m
Rudd, Anthony, 1549 or 50-1615	Anglican	Conformist	m	Bishop of St David's
Maxey, Anthony, d. 1618	Anglican	Conformist	m
Meriton, George, d. 1624	Anglican	Conformist	m
White, John, 1570-1615	Anglican	Conformist	m	Controversialist; not the patriarch of Dorchester
Prys, Edmund, 1544-1623	Anglican	Conformist	m	Welsh
Ailesbury, Thomas, fl. 1622-1659	Anglican	Conformist	m
Hunnis, William, d. 1597	Anglican	Conformist	m
Goodman, Godfrey, 1583-1656	Anglican	Conformist	m	Bishop of Gloucester; died professing Rome
Selden, John, 1584-1654	Anglican	Conformist	m	Lay; Erastian
Gailhard, J. (Jean)	Anglican	Conformist	l
Care, Henry, 1646-1688	Anglican	Conformist	l	Lay journalist
Denton, William, 1605-1691	Anglican	Conformist	l	Lay physician
Atwood, William, d. 1705?	Anglican	Conformist	l	Lay
Bull, Digby	Anglican	Conformist	l
Walker, William, 1623-1684	Anglican	Conformist	l
Powell, Thomas, 1608-1660	Anglican	Conformist	l	Welsh
Lupton, Donald, d. 1676	Anglican	Conformist	l
Gore, John, Rector of Wendenlofts, Essex	Anglican	Conformist	l
Fawkner, Antony, b. 1601 or 2	Anglican	Conformist	l
Robertson, Bartholomew, fl. 1620	Anglican	Conformist	l
Lever, Christopher, fl. 1627	Anglican	Conformist	l
D. T. (Daniel Tuvill), d. 1660	Anglican	Conformist	l	Lay
Est, William, 1546 or 7-1625	Anglican	Conformist	l
Wright, Leonard, b. 1555 or 6	Anglican	Conformist	l
Davies, John, Sir, 1569-1626	Anglican	Conformist	l	Lay
Gascoigne, George, 1542?-1577	Anglican	Conformist	l	Lay poet
Whetstone, George, 1544?-1587?	Anglican	Conformist	l	Lay
Holinshed, Raphael, d. 1580?	Anglican	Conformist	l	Lay chronicler
Speed, John, 1552?-1629	Anglican	Conformist	l	Lay historian
Drayton, Michael, 1563-1631	Anglican	Conformist	l	Lay poet
Breton, Nicholas, 1545?-1626?	Anglican	Conformist	l	Lay poet
Rowlands, Samuel, 1570?-1630?	Anglican	Conformist	l	Lay
Dekker, Thomas, ca. 1572-1632	Anglican	Conformist	l	Lay dramatist
Middleton, Thomas, d. 1627	Anglican	Conformist	l	Lay dramatist
Heywood, Thomas, d. 1641	Anglican	Conformist	l	Lay dramatist
Jonson, Ben, 1573?-1637	Anglican	Conformist	l	Lay; a Roman Catholic for twelve years in the middle
Bullein, William, d. 1576	Anglican	Conformist	l	Lay physician
Cotta, John, 1575?-1650?	Anglican	Conformist	l	Lay physician
Willymat, William, d. 1615	Anglican	Conformist	l
Worship, William	Anglican	Conformist	l
Eburne, Richard	Anglican	Conformist	l
Maxwell, James, b. 1581	Anglican	Conformist	l
Morton, Thomas, of Berwick	Anglican	Conformist	l
Ubaldini, Petruccio, 1524?-1600?	Anglican		l	Italian exile in England
Leland, John, 1506?-1552	Anglican		l

# ── Anglican, Puritan ─────────────────────────────────────────────
Rogers, Richard, 1550?-1618	Anglican	Puritan	h	Seven Treatises
Hildersam, Arthur, 1563-1632	Anglican	Puritan	h
Culverwell, Ezekiel, 1553 or 4-1631	Anglican	Puritan	h
Charke, William, d. 1617	Anglican	Puritan	h
Brightman, Thomas, 1562-1607	Anglican	Puritan	h
Bownd, Nicholas, d. 1613	Anglican	Puritan	h	Sabbatarian
Stubbes, Phillip	Anglican	Puritan	h	Lay; The Anatomy of Abuses
Prichard, Rhys, 1579-1644	Anglican	Puritan	m	Welsh
Attersoll, William, d. 1640	Anglican	Puritan	m
Dillingham, Francis, d. 1625	Anglican	Puritan	m
Hayne, Thomas, 1582-1645	Anglican	Puritan	m
Tymme, Thomas, d. 1620	Anglican	Puritan	m
Traske, John, d. ca. 1638	Anglican	Puritan	m	Sabbatarian
Yates, John, d. ca. 1660	Anglican	Puritan	m
Denison, Stephen, d. 1649 or 50	Anglican	Puritan	m
Bedford, Thomas, d. 1653	Anglican	Puritan	m
Randall, John, 1570-1622	Anglican	Puritan	m
Jemmat, William, 1596?-1678	Anglican	Puritan	m
Sedgwick, John, 1600 or 1601-1643	Anglican	Puritan	m
Grosse, Alexander, 1596?-1654	Anglican	Puritan	m
Parr, Elnathan, d. 1622	Anglican	Puritan	m
Chibald, William, 1575-1641	Anglican	Puritan	m
Wing, John, of Flushing, Zealand	Anglican	Puritan	m
Sprint, John, d. 1623	Anglican	Puritan	m	Conformed in the end
Holland, Henry, 1555 or 6-1603	Anglican	Puritan	m
Bulkley, Edward, d. 1621?	Anglican	Puritan	m
Temple, William, Sir, 1555-1627	Anglican	Puritan	m	Ramist; Travers's ally
Traheron, Bartholomew, 1510?-1558?	Anglican	Puritan	m	Marian exile
Ponet, John, 1516?-1556	Anglican	Puritan	m	Marian exile
Jones, William, b. 1581 or 2	Anglican	Puritan	l
Barnes, Thomas, Minister of St. Margaret's, New Fish Street, London	Anglican	Puritan	l
Jelinger, Christopher	Anglican	Puritan	l
Kem, Samuel, 1604-1670	Anglican	Puritan	l
Strode, William, 1600 or 1601-1645	Anglican	Puritan	l	Lay; MP
Graunt, John, of Bucklersbury	Anglican	Puritan	l
Vaughan, Edward, preacher at St. Mary Woolnoth	Anglican	Puritan	l
H. A. (Henry Arthington)	Anglican	Puritan	l
Allen, Robert, fl. 1596-1612	Anglican	Puritan	l
Harrison, William, d. 1625	Anglican	Puritan	l
Preston, Richard, d. ca. 1624	Anglican	Puritan	l
Chishull, John	Presbyterian	Puritan	l

# ── The English Reformation ───────────────────────────────────────
Henry VIII, King of England, 1491-1547	Anglican		m	Supreme Head of the church he made
Ridley, Lancelot, d. 1576	Anglican		m
Tracy, Richard, d. 1569	Anglican		m

# ── Presbyterian ──────────────────────────────────────────────────
Tuckney, Anthony, 1599-1670	Presbyterian	Puritan	h	Westminster divine
Bolton, Samuel, 1606-1654	Presbyterian	Puritan	h	Westminster divine
Blake, Thomas, 1597?-1657	Presbyterian	Puritan	h
Nalton, James, 1600-1662	Presbyterian	Puritan	h
Heyrick, Richard, 1600-1667	Presbyterian	Puritan	h
Gilpin, Richard, 1625-1700	Presbyterian	Puritan	h
Alsop, Vincent, 1629 or 30-1703	Presbyterian	Puritan	h
Cruso, Timothy, 1656?-1697	Presbyterian	Puritan	h
Newcome, Henry, 1627-1695	Presbyterian	Puritan	h
Steele, Richard, 1629-1692	Presbyterian	Puritan	h
Henry, Matthew, 1662-1714	Presbyterian	Puritan	h
Owen, James, 1654-1706	Presbyterian	Puritan	h	Welsh
Rule, Gilbert, 1629?-1701	Presbyterian	Puritan	h	Church of Scotland
Binning, Hugh, 1627-1653	Presbyterian	Puritan	h	Church of Scotland
Hughes, George, 1603-1667	Presbyterian	Puritan	h
Travers, Walter, 1547 or 8-1635	Presbyterian	Puritan	h	Hooker's opposite number at the Temple
Paget, John, d. 1640	Presbyterian	Puritan	h	The English Reformed church at Amsterdam
Maynard, John, 1600-1665	Presbyterian	Puritan	m	Westminster divine
Strickland, John, 1600 or 1601-1670	Presbyterian	Puritan	m
Robinson, Ralph, 1614-1655	Presbyterian	Puritan	m
Hall, Edmund, 1619 or 20-1687	Presbyterian	Puritan	m
Shaw, John, 1614-1689	Presbyterian	Puritan	m
Ryther, John, 1634?-1681	Presbyterian	Puritan	m
Thomas, William, 1593-1667	Presbyterian	Puritan	m	Ejected 1662
Bury, Edward, 1616-1700	Presbyterian	Puritan	m	Ejected 1662
Mall, Thomas, b. 1629 or 30	Presbyterian	Puritan	m	Ejected 1662
Clark, Samuel, 1626-1701	Presbyterian	Puritan	m	Ejected 1662
Lukin, H. (Henry), 1628-1719	Presbyterian	Puritan	m
Menzeis, John, 1624-1684	Presbyterian	Puritan	m	Scot; changed sides more than once
Simson, Archibald, 1564-1628	Presbyterian	Puritan	m	Church of Scotland
Struther, William, 1578-1633	Presbyterian	Puritan	m	Church of Scotland
Burthogge, Richard, 1638?-ca. 1700	Presbyterian	Puritan	l

# ── Congregational and Independent ────────────────────────────────
Eliot, John, 1604-1690	Congregational	Puritan	h	New England; the Indian Bible
Weld, Thomas, 1590?-1662	Congregational	Puritan	h	New England
Peters, Hugh, 1598-1660	Congregational	Puritan	h	Executed 1660
Charnock, Stephen, 1628-1680	Congregational	Puritan	h
Cole, Thomas, 1627?-1697	Congregational	Puritan	h
Sedgwick, William, 1609 or 10-1669?	Congregational	Puritan	m
Cradock, Samuel, 1621?-1706	Congregational	Puritan	m
Troughton, William, 1614?-1677?	Congregational	Puritan	m
Edwards, Charles, 1627 or 8-1691?	Congregational	Puritan	m	Welsh
Cardel, John	Congregational	Puritan	l
Bradshaw, Ellis	Congregational	Puritan	l
Cross, Walter, M.A.	Congregational	Puritan	l

# ── Baptist ───────────────────────────────────────────────────────
Smyth, John, d. 1612	Baptist	Puritan	h	The se-Baptist; the first English Baptist church
Ives, Jeremiah, fl. 1653-1674	Baptist	Puritan	h	General Baptist
Bampfield, Francis, 1615 or 16-1683	Baptist	Puritan	h	Seventh Day Baptist
Tillam, Thomas	Baptist	Puritan	m	Seventh Day Baptist
Lawrence, Richard, d. 1684	Baptist	Puritan	l

# ── Quaker ────────────────────────────────────────────────────────
Barclay, Robert, 1648-1690	Quaker		h	The Apology
Crisp, Stephen, 1628-1692	Quaker		h
